# platform=debian kernel=linux host=lg1 device=rpi2 sample_rate=48000
frame,samples,total_ms,wait_ms,exec_ms,copy_ms,sound_ms,tg_ms,ui_ms,plot_ms,bg_fps,bg_sps,bg_spf,fg_fps,fg_sps,fg_spf
186,1024,20.076,9.736,10.340,0.008,0.136,1.714,0.343,8.137,46.9,48031.9,1024.0,42.1,47698.7,1132.0
187,1024,27.975,18.941,9.034,0.011,0.195,0.098,0.407,8.313,46.9,48031.9,1024.0,42.1,47698.7,1132.0
188,1024,15.555,6.868,8.687,0.008,0.137,0.082,0.339,8.119,46.9,48031.9,1024.0,42.1,47698.7,1132.0
189,1024,26.347,14.635,11.712,0.010,0.698,1.839,0.838,8.316,46.9,48031.9,1024.0,42.1,47698.7,1132.0
190,1024,18.449,7.348,11.101,0.008,0.185,2.010,0.355,8.535,46.9,48031.9,1024.0,42.1,47698.7,1132.0
191,1024,30.492,19.510,10.982,0.011,0.191,2.090,0.353,8.327,46.9,48031.9,1024.0,42.1,47698.7,1132.0
192,1024,19.927,9.147,10.780,0.008,0.133,2.065,0.337,8.234,46.9,48031.9,1024.0,42.1,47698.7,1132.0
193,1024,30.836,19.705,11.131,0.011,0.188,2.063,0.382,8.479,46.9,48031.9,1024.0,42.1,47698.7,1132.0
194,1024,20.327,9.739,10.588,0.008,0.137,1.668,0.334,8.438,46.9,48031.9,1024.0,42.1,47698.7,1132.0
195,1024,29.645,20.310,9.335,0.012,0.196,0.102,0.388,8.628,46.9,48031.9,1024.0,42.1,47698.7,1132.0
196,1024,17.601,7.686,9.915,0.008,0.585,0.202,0.688,8.430,46.9,48031.9,1024.0,42.1,47698.7,1132.0
197,2048,36.469,22.823,13.646,0.017,0.249,4.088,0.680,8.606,46.9,48031.9,1024.0,42.1,47698.7,1132.0
198,1024,27.931,16.009,11.922,0.012,0.191,2.591,0.359,8.759,46.9,48031.9,1024.0,42.1,47698.7,1132.0
199,1024,18.390,6.859,11.531,0.008,0.136,2.358,0.335,8.692,46.9,48031.9,1024.0,42.1,47698.7,1132.0
